Territorio,Tipo de territorio,Régimen de tenencia,18 mar 2017,12 ene 2021,05 ene 2023
Barcelona,Municipi,Propiedad,,,
Barcelona,Municipi,Alquiler,,,
Barcelona,Municipi,Paga por el uso de una habitación y/u otros espacios compartidos,,,
Barcelona,Municipi,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Barcelona,Municipi,Cesión gratuita,,,
Barcelona,Municipi,Ocupada,,,
Barcelona,Municipi,Otra situación,,,-
Barcelona,Municipi,No contesta,,,
Ciutat Vella,Districte,Propiedad,,,
Ciutat Vella,Districte,Alquiler,,,
Ciutat Vella,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,,,
Ciutat Vella,Districte,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Ciutat Vella,Districte,Cesión gratuita,,,
Ciutat Vella,Districte,Ocupada,,,-
Ciutat Vella,Districte,Otra situación,-,,-
Ciutat Vella,Districte,No contesta,,,
Eixample,Districte,Propiedad,,,
Eixample,Districte,Alquiler,,,
Eixample,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,,,
Eixample,Districte,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Eixample,Districte,Cesión gratuita,,,
Eixample,Districte,Ocupada,-,,
Eixample,Districte,No contesta,,,
Sants-Montjuïc,Districte,Propiedad,,,
Sants-Montjuïc,Districte,Alquiler,,,
Sants-Montjuïc,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,-,,
Sants-Montjuïc,Districte,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Sants-Montjuïc,Districte,Cesión gratuita,,,
Sants-Montjuïc,Districte,Ocupada,,,
Sants-Montjuïc,Districte,Otra situación,-,,-
Sants-Montjuïc,Districte,No contesta,-,,
Les Corts,Districte,Propiedad,,,
Les Corts,Districte,Alquiler,,,
Les Corts,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,-,,
Les Corts,Districte,Cesión gratuita,,,
Les Corts,Districte,No contesta,-,,-
Sarrià-Sant Gervasi,Districte,Propiedad,,,
Sarrià-Sant Gervasi,Districte,Alquiler,,,
Sarrià-Sant Gervasi,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,-,,
Sarrià-Sant Gervasi,Districte,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Sarrià-Sant Gervasi,Districte,Cesión gratuita,,,
Sarrià-Sant Gervasi,Districte,Otra situación,,,-
Sarrià-Sant Gervasi,Districte,No contesta,,,
Gràcia,Districte,Propiedad,,,
Gràcia,Districte,Alquiler,,,
Gràcia,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,,-,
Gràcia,Districte,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Gràcia,Districte,Cesión gratuita,,,
Gràcia,Districte,Ocupada,,,-
Gràcia,Districte,Otra situación,,-,-
Gràcia,Districte,No contesta,-,,
Horta-Guinardó,Districte,Propiedad,,,
Horta-Guinardó,Districte,Alquiler,,,
Horta-Guinardó,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,,,
Horta-Guinardó,Districte,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Horta-Guinardó,Districte,Cesión gratuita,,,
Horta-Guinardó,Districte,Ocupada,,-,
Horta-Guinardó,Districte,Otra situación,,-,-
Horta-Guinardó,Districte,No contesta,-,,
Nou Barris,Districte,Propiedad,,,
Nou Barris,Districte,Alquiler,,,
Nou Barris,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,,,
Nou Barris,Districte,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Nou Barris,Districte,Cesión gratuita,,,
Nou Barris,Districte,Ocupada,,,
Nou Barris,Districte,Otra situación,-,,-
Nou Barris,Districte,No contesta,,,
Sant Andreu,Districte,Propiedad,,,
Sant Andreu,Districte,Alquiler,,,
Sant Andreu,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,-,,
Sant Andreu,Districte,Cesión gratuita,,,
Sant Andreu,Districte,Ocupada,,,-
Sant Andreu,Districte,No contesta,-,-,
Sant Martí,Districte,Propiedad,,,
Sant Martí,Districte,Alquiler,,,
Sant Martí,Districte,Paga por el uso de una habitación y/u otros espacios compartidos,-,,
Sant Martí,Districte,Derecho a superfície / Vivienda cooperativa / En cesión de uso,-,-,
Sant Martí,Districte,Cesión gratuita,,,
Sant Martí,Districte,Ocupada,,,
Sant Martí,Districte,No contesta,-,,